Date;BusinessClimate ;BusinessSituation ;BusinessExpectations
 01/1991;110;118;102.5
 02/1991;109.7;117.7;102.2
 03/1991;108.5;116.1;101.4
 04/1991;108.1;114.5;102
 05/1991;106.9;112.7;101.3
 06/1991;106.3;112.7;100.3
 07/1991;105.3;110.1;100.8
 08/1991;104.5;108.4;100.8
 09/1991;104.6;108.4;100.9
 10/1991;105.5;109.2;102
 11/1991;105.2;108.5;101.9
 12/1991;104.3;108;100.8
 01/1992;102.8;105.9;99.8
 02/1992;101.9;105.1;98.8
 03/1992;100.8;102.8;98.7
 04/1992;99.9;102.2;97.5
 05/1992;99.5;100.3;98.6
 06/1992;98.8;99.3;98.2
 07/1992;97.4;97.5;97.2
 08/1992;94.3;95.7;92.9
 09/1992;93.1;94.7;91.5
 10/1992;90;92.5;87.6
 11/1992;88.1;90.1;86.2
 12/1992;89.5;91.2;87.9
 01/1993;88.7;87.7;89.7
 02/1993;86.8;85.2;88.4
 03/1993;88.7;86;91.5
 04/1993;87.9;85.6;90.3
 05/1993;87.3;83.8;90.8
 06/1993;88.6;84;93.4
 07/1993;88.9;84;94.1
 08/1993;90.9;86;96.2
 09/1993;90.1;84.8;95.7
 10/1993;90.9;84.9;97.4
 11/1993;91.9;86.9;97.1
 12/1993;93;86.7;99.7
 01/1994;92.9;86.3;100
 02/1994;95.7;90.8;100.8
 03/1994;96.9;91.4;102.8
 04/1994;98.9;92.5;105.7
 05/1994;99.5;93.7;105.6
 06/1994;101.3;96;106.9
 07/1994;100.7;95.5;106.2
 08/1994;101.5;98;105.2
 09/1994;103.8;100.1;107.6
 10/1994;105.3;101.8;108.9
 11/1994;105.5;102;109.2
 12/1994;104.9;101.9;108
 01/1995;104.4;102.3;106.7
 02/1995;105;104.5;105.4
 03/1995;102.4;101.7;103
 04/1995;101.3;102.4;100.2
 05/1995;100.7;101.3;100.2
 06/1995;99.7;100.9;98.4
 07/1995;97.9;98.3;97.5
 08/1995;97.3;97.5;97.2
 09/1995;97.8;98;97.7
 10/1995;96.9;97;96.8
 11/1995;96.8;96.2;97.4
 12/1995;96.1;95.8;96.5
 01/1996;95.1;94.6;95.6
 02/1996;94.2;93.1;95.2
 03/1996;93;91.4;94.6
 04/1996;93.8;92.4;95.2
 05/1996;92.8;90.7;95
 06/1996;92.5;89.9;95.1
 07/1996;94.8;92.2;97.5
 08/1996;95.1;92.3;98
 09/1996;96.9;93.9;100
 10/1996;97.8;94.6;101
 11/1996;97.3;94;100.8
 12/1996;97.8;94.8;100.8
 01/1997;98.1;94.9;101.5
 02/1997;98.7;96.1;101.3
 03/1997;98.6;96.4;101
 04/1997;99.3;97.4;101.3
 05/1997;100;98.9;101.2
 06/1997;99.7;98.5;100.9
 07/1997;101.4;100.2;102.5
 08/1997;101.5;99.8;103.3
 09/1997;103.5;101.9;105.2
 10/1997;104.2;103.5;104.9
 11/1997;104.4;103.4;105.3
 12/1997;105.3;105.2;105.5
 01/1998;103.5;103.8;103.2
 02/1998;104.2;105.1;103.2
 03/1998;104.6;106.3;103
 04/1998;104.2;105.8;102.6
 05/1998;103.9;104.8;103.1
 06/1998;103.4;104.3;102.4
 07/1998;103.5;105.5;101.5
 08/1998;102.4;104.2;100.6
 09/1998;100.1;102.8;97.5
 10/1998;99.2;101.2;97.2
 11/1998;99.6;102.1;97.1
 12/1998;99.3;101.5;97.2
 01/1999;98.1;99.9;96.3
 02/1999;96.5;98.6;94.3
 03/1999;97.2;99.8;94.7
 04/1999;96.8;98;95.6
 05/1999;97.1;97.6;96.7
 06/1999;98.1;97.9;98.3
 07/1999;98.8;98.4;99.2
 08/1999;100.1;99.7;100.5
 09/1999;101.8;100.8;102.9
 10/1999;102.3;101.2;103.5
 11/1999;104.6;104.1;105.2
 12/1999;104.6;104.1;105.1
 01/2000;104.2;102.7;105.7
 02/2000;105.6;105.7;105.4
 03/2000;105.1;104.5;105.7
 04/2000;106.2;107.9;104.6
